,URL,F1A,F1B,F2A,F2B,A1.1,A1.2,I1,I2,I3,R1.1,R1.2,R1.3,F_score,A_score,I_score,R_score,FAIR_score
0,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963981305.1/,2,0,1,2,2,0,1,2,0,0,0,2,62.5,50.0,50.0,33.3,50.0
1,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112797446/,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
2,https://www.ebi.ac.uk/ena/browser/view/SAMEA112797446,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
3,https://www.ebi.ac.uk/biosamples/samples/SAMEA112797446,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
4,https://www.ebi.ac.uk/biosamples/samples/SAMEA112797446.ldjson,2,2,1,2,2,0,1,1,0,0,0,1,87.5,50.0,33.3,16.7,50.0
5,https://portal.erga-biodiversity.eu/data_portal/878968,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
6,https://portal.erga-biodiversity.eu/organism/SAMEA112797446,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
7,https://www.gbif.org/dataset/4fa7b334-ce0d-4e88-aaae-2e0c138d049e,0,0,0,0,2,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,8.3
8,https://doi.org/10.15468/aomfnb,0,0,0,0,2,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,8.3
9,https://disscover.dissco.eu/ds/10.3535/J0R-CD8-SH5,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
10,https://disscover.dissco.eu/api/digital-specimen/v1/10.3535/KJE-E3A-Q80,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
11,https://jacq.org/detail/1651282,2,0,0,0,2,0,0,0,0,0,0,0,25.0,50.0,0.0,0.0,16.7
