,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://doi.org/10.5061/dryad.h70rxwdnd,2,2,2,2,2,2,2,2,2,0,2
1,https://doi.org/10.5281/zenodo.7193058,2,2,2,2,2,2,2,2,0,0,2
2,https://doi.org/10.5281/zenodo.7179025,2,2,2,2,2,2,2,2,2,0,2
3,https://doi.org/10.5061/dryad.j3tx95xjg,2,2,2,2,2,2,2,2,2,0,2
4,https://doi.org/10.5061/dryad.3n5tb2rmb,2,2,2,2,2,2,2,2,2,0,2
5,https://doi.org/10.5281/zenodo.7176452,2,2,2,2,2,2,2,2,0,0,2
6,https://doi.org/10.5281/zenodo.7192169,2,2,2,2,2,2,2,2,2,0,2
7,https://doi.org/10.5281/zenodo.7186401,2,2,2,2,2,2,2,2,2,0,2
8,https://doi.org/10.5281/zenodo.7185335,2,2,2,2,2,2,2,2,2,0,2
9,https://doi.org/10.5281/zenodo.7181181,2,2,2,2,2,2,2,2,2,0,2
10,https://doi.org/10.5061/dryad.8w9ghx3qt,2,2,2,2,2,2,2,2,2,0,2
11,https://doi.org/10.5281/zenodo.7181441,2,2,2,2,2,2,2,2,2,0,2
12,https://doi.org/10.5281/zenodo.7186868,2,2,2,2,2,2,2,2,2,0,2
13,https://doi.org/10.5281/zenodo.7180078,2,2,2,2,2,2,2,2,2,0,2
14,https://doi.org/10.5281/zenodo.7185333,2,2,2,2,2,2,2,2,2,0,2
15,https://doi.org/10.5061/dryad.v15dv41xw,2,2,2,2,2,2,2,2,2,0,2
16,https://doi.org/10.5281/zenodo.7187338,2,2,2,2,2,2,2,2,2,0,2
17,https://doi.org/10.5281/zenodo.7191090,2,2,2,2,2,2,2,2,2,0,2
18,https://doi.org/10.5061/dryad.41ns1rnj0,2,2,2,2,2,2,2,2,2,0,2
19,https://doi.org/10.5281/zenodo.7183398,2,2,2,2,2,2,2,2,2,0,2
20,https://doi.org/10.5281/zenodo.7185594,2,2,2,2,2,2,2,2,2,0,2
21,https://doi.org/10.7280/D11H5P,2,2,2,2,2,2,2,2,2,0,2
22,https://doi.org/10.5281/zenodo.7183215,2,2,2,2,2,2,2,2,2,0,2
23,https://doi.org/10.5281/zenodo.7181827,2,2,2,2,2,2,2,2,2,0,2
24,https://doi.org/10.5281/zenodo.7181722,2,2,2,2,2,2,2,2,2,0,2
25,https://doi.org/10.5281/zenodo.7180286,2,2,2,2,2,2,2,2,2,0,2
26,https://doi.org/10.5281/zenodo.7183749,2,2,2,2,2,2,2,2,2,0,2
27,https://doi.org/10.5281/zenodo.7177524,2,2,2,2,2,2,2,2,2,0,2
28,https://doi.org/10.5281/zenodo.7181550,2,2,2,2,2,2,2,2,2,0,2
29,https://doi.org/10.5281/zenodo.7178316,2,2,2,2,2,2,2,2,2,0,2
30,https://doi.org/10.5281/zenodo.7182156,2,2,2,2,2,2,2,2,2,0,2
31,https://doi.org/10.5281/zenodo.7185852,2,2,2,2,2,2,2,2,2,0,2
32,https://doi.org/10.5281/zenodo.7181981,2,2,2,2,2,2,2,2,2,0,2
33,https://doi.org/10.5281/zenodo.7181977,2,2,2,2,2,2,2,2,2,0,2
34,https://doi.org/10.5281/zenodo.7182787,2,2,2,2,2,2,2,2,2,0,2
35,https://doi.org/10.5281/zenodo.7193943,2,2,2,2,2,2,2,2,2,0,2
36,https://doi.org/10.5061/dryad.7h44j0zxw,2,2,2,2,2,2,2,2,2,0,2
37,https://doi.org/10.5281/zenodo.7187379,2,2,2,2,2,2,2,2,2,0,2
38,https://doi.org/10.5281/zenodo.7185210,2,2,2,2,2,2,2,2,2,0,2
39,https://doi.org/10.5281/zenodo.7187451,2,2,2,2,2,2,2,2,2,0,2
40,https://doi.org/10.5061/dryad.j0zpc86g9,2,2,2,2,2,2,2,2,2,0,2
41,https://doi.org/10.5281/zenodo.7184128,2,2,2,2,2,2,2,2,2,0,2
42,https://doi.org/10.5281/zenodo.7191171,2,2,2,2,2,2,2,2,2,0,2
43,https://doi.org/10.5281/zenodo.7177594,2,2,2,2,2,2,2,2,2,0,2
44,https://doi.org/10.5061/dryad.kprr4xh7w,2,2,2,2,2,2,2,2,2,0,2
45,https://doi.org/10.5061/dryad.bvq83bkd2,2,2,2,2,2,2,2,2,2,0,2
46,https://doi.org/10.5281/zenodo.7193685,2,2,2,2,2,2,2,2,2,0,2
47,https://doi.org/10.5281/zenodo.7181284,2,2,2,2,2,2,2,2,2,0,2
48,https://doi.org/10.5061/dryad.x95x69pnf,2,2,2,2,2,2,2,2,2,0,2
49,https://doi.org/10.5061/dryad.34tmpg4nj,2,2,2,2,2,2,2,2,2,0,2
50,https://doi.org/10.5061/dryad.95x69p8p6,2,2,2,2,2,2,2,2,2,0,2
51,https://doi.org/10.5281/zenodo.7181923,2,2,2,2,2,2,2,2,2,0,2
52,https://doi.org/10.5281/zenodo.7178714,2,2,2,2,2,2,2,2,2,0,2
53,https://doi.org/10.5281/zenodo.7183393,2,2,2,2,2,2,2,2,2,0,2
54,https://doi.org/10.5281/zenodo.7189331,2,2,2,2,2,2,2,2,2,0,2
55,https://doi.org/10.5061/dryad.x0k6djhp4,2,2,2,2,2,2,2,2,2,0,2
56,https://doi.org/10.5281/zenodo.7078846,2,2,2,2,2,2,2,2,2,0,2
57,https://doi.org/10.5281/zenodo.7186403,2,2,2,2,2,2,2,2,2,0,2
58,https://doi.org/10.5281/zenodo.7180432,2,2,2,2,2,2,2,2,2,0,2
59,https://doi.org/10.5281/zenodo.7184029,2,2,2,2,2,2,2,2,0,0,2
60,https://doi.org/10.1145/3560905.3567760,0,0,0,0,0,0,0,0,0,0,0
61,https://doi.org/10.5281/zenodo.7180090,2,2,2,2,2,2,2,2,2,0,2
62,https://doi.org/10.5281/zenodo.7186980,2,2,2,2,2,2,2,2,2,0,2
63,https://doi.org/10.5281/zenodo.7188796,2,2,2,2,2,2,2,2,2,0,2
64,https://doi.org/10.6086/D18X0V,2,2,2,2,2,2,2,2,2,0,2
65,https://doi.org/10.5061/dryad.jdfn2z3dr,2,2,2,2,2,2,2,2,2,0,2
66,https://doi.org/10.5281/zenodo.7181057,2,2,2,2,2,2,2,2,2,0,2
67,https://doi.org/10.5281/zenodo.7181530,2,2,2,2,2,2,2,2,2,0,2
68,https://doi.org/10.5281/zenodo.7178701,2,2,2,2,2,2,2,2,2,0,2
69,https://doi.org/10.5281/zenodo.7185351,2,2,2,2,2,2,2,2,2,0,2
70,https://doi.org/10.5281/zenodo.7181962,2,2,2,2,2,2,2,2,2,0,2
71,https://doi.org/10.5281/zenodo.7193340,2,2,2,2,2,2,2,2,2,0,2
72,https://doi.org/10.5281/zenodo.7185980,2,2,2,2,2,2,2,2,2,0,2
73,https://doi.org/10.5281/zenodo.7185832,2,2,2,2,2,2,2,2,2,0,2
74,https://doi.org/10.5061/dryad.jq2bvq8bq,2,2,2,2,2,2,2,2,2,0,2
75,https://doi.org/10.5281/zenodo.7191325,2,2,2,2,2,2,2,2,2,0,2
76,https://doi.org/10.5281/zenodo.7178321,2,2,2,2,2,2,2,2,2,0,2
77,https://doi.org/10.5281/zenodo.7180366,2,2,2,2,2,2,2,2,2,0,2
78,https://doi.org/10.5281/zenodo.7185695,2,2,2,2,2,2,2,2,0,0,2
79,https://doi.org/10.5281/zenodo.7176706,2,2,2,2,2,2,2,2,2,0,2
80,https://doi.org/10.5281/zenodo.7182603,2,2,2,2,2,2,2,2,2,0,2
81,https://doi.org/10.5281/zenodo.7188281,2,2,2,2,2,2,2,2,2,0,2
82,https://doi.org/10.5281/zenodo.7194093,2,2,2,2,2,2,2,2,2,0,2
83,https://doi.org/10.5281/zenodo.7178397,2,2,2,2,2,2,2,2,2,0,2
84,https://doi.org/10.5281/zenodo.7180023,2,2,2,2,2,2,2,2,2,0,2
85,https://doi.org/10.5281/zenodo.7177554,2,2,2,2,2,2,2,2,2,0,2
86,https://doi.org/10.5061/dryad.3tx95x6k6,2,2,2,2,2,2,2,2,2,0,2
87,https://doi.org/10.5281/zenodo.7180818,2,2,2,2,2,2,2,2,2,0,2
88,https://doi.org/10.5281/zenodo.7185427,2,2,2,2,2,2,2,2,2,0,2
89,https://doi.org/10.5061/dryad.37pvmcvpc,2,2,2,2,2,2,2,2,2,0,2
90,https://doi.org/10.5281/zenodo.7191231,2,2,2,2,2,2,2,2,2,0,2
91,https://doi.org/10.5281/zenodo.7152687,2,2,2,2,2,2,2,2,2,0,2
92,https://doi.org/10.5281/zenodo.7185245,2,2,2,2,2,2,2,2,2,0,2
93,https://doi.org/10.5281/zenodo.7182724,2,2,2,2,2,2,2,2,2,0,2
94,https://doi.org/10.5281/zenodo.7193139,2,2,2,2,2,2,2,2,0,0,2
95,https://doi.org/10.5281/zenodo.7182820,2,2,2,2,2,2,2,2,2,0,2
96,https://doi.org/10.5281/zenodo.7193724,2,2,2,2,2,2,2,2,2,0,2
97,https://doi.org/10.5281/zenodo.7189920,2,2,2,2,2,2,2,2,2,0,2
98,https://doi.org/10.5281/zenodo.7183245,2,2,2,2,2,2,2,2,2,0,2
99,https://doi.org/10.5281/zenodo.7180475,2,2,2,2,2,2,2,2,2,0,2
