,ID,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://bio.tools/1KP,0,2,2,2,2,2,0,0,2
1,https://bio.tools/3DChrom,1,2,2,2,2,2,0,0,2
2,https://bio.tools/3dtf,1,2,1,2,1,2,0,0,1
3,https://bio.tools/ACPP,0,2,2,2,2,2,2,0,2
4,https://bio.tools/ADAPTIVE,1,2,2,2,2,2,0,0,2
5,https://bio.tools/ALACD,1,2,2,2,2,2,0,0,2
6,https://bio.tools/APIS,1,2,2,2,2,2,2,0,2
7,https://bio.tools/ARSA-16S,0,2,2,2,2,2,0,0,2
8,https://bio.tools/AVAILABILITYZING,1,2,2,2,2,2,0,0,2
9,https://bio.tools/AlphaSeq,1,2,2,2,2,2,0,0,2
10,https://bio.tools/BAMM-SC,1,2,1,2,1,2,2,0,1
11,https://bio.tools/BEable-GPS,1,2,2,2,2,2,2,0,2
12,https://bio.tools/BLMRM,1,2,2,2,2,2,0,0,2
13,https://bio.tools/Barnaba,1,2,1,2,1,2,2,0,1
14,https://bio.tools/BatMeth2,1,2,1,2,1,2,0,0,1
15,https://bio.tools/BayICE,0,2,2,2,2,2,2,0,2
16,https://bio.tools/BiSpark,1,2,2,2,2,2,2,0,2
17,https://bio.tools/BiasDB,0,2,2,2,2,2,0,0,2
18,https://bio.tools/BioEn,0,2,2,2,2,2,0,0,2
19,https://bio.tools/BioGateway,1,2,2,2,2,2,2,0,2
20,https://bio.tools/Brain_interactome_explorer,1,2,2,2,2,2,0,0,2
21,https://bio.tools/CANDI,1,2,1,2,1,2,2,0,1
22,https://bio.tools/CASE,1,2,2,2,2,2,0,0,2
23,https://bio.tools/CASet,1,2,2,2,2,2,0,0,2
24,https://bio.tools/CELLmicrocosmos_tools,1,2,2,2,2,2,0,0,2
25,https://bio.tools/CSHMM,1,2,1,2,1,2,2,0,1
26,https://bio.tools/ChIPSummitDB,0,2,1,2,1,2,2,0,1
27,https://bio.tools/ClinEpiDB,0,2,2,2,2,2,2,0,2
28,https://bio.tools/ComHub,0,2,2,2,2,2,0,0,2
29,https://bio.tools/ComplexBrowser,0,2,1,2,1,2,0,0,1
30,https://bio.tools/Contrasting,1,2,2,2,2,2,0,0,2
31,https://bio.tools/CutpointsOEHR,1,2,1,2,1,2,2,0,1
32,https://bio.tools/DC-ADMM,1,2,2,2,2,0,0,0,2
33,https://bio.tools/DENSIFE,0,2,1,2,1,0,0,0,1
34,https://bio.tools/DISOselect,1,2,2,2,2,2,0,0,2
35,https://bio.tools/DIpartite,1,2,2,2,2,2,2,0,2
36,https://bio.tools/DQueST,1,2,2,2,2,2,0,0,2
37,https://bio.tools/DROIDS_autogenerated,0,2,2,2,2,2,2,0,2
38,https://bio.tools/DeepBGC,1,2,1,2,1,2,2,0,1
39,https://bio.tools/DeepRank,0,2,1,2,1,2,2,0,1
40,https://bio.tools/DeepSV,1,2,2,2,2,2,0,0,2
41,https://bio.tools/Dynalogo,1,2,2,2,2,2,2,0,2
42,https://bio.tools/EAGLE_autogenerated,0,2,2,2,2,2,0,0,2
43,https://bio.tools/FXD-CSD-GUI,1,2,2,2,2,2,0,0,2
44,https://bio.tools/FunDMDeep-m6A,1,2,2,2,2,2,0,0,2
45,https://bio.tools/GCMDR,1,2,2,2,2,2,0,0,2
46,https://bio.tools/GRANAR,0,2,1,2,1,2,2,0,1
47,https://bio.tools/GRIBCG,1,2,1,2,1,2,0,0,1
48,https://bio.tools/GScluster,1,2,1,2,1,2,2,0,1
49,https://bio.tools/GUESSmyLT,0,2,2,2,2,2,2,0,2
50,https://bio.tools/GenTree,1,2,1,2,1,2,2,0,1
51,https://bio.tools/GeneYenta,1,2,2,2,2,2,0,0,2
52,https://bio.tools/HEIA,1,2,2,2,2,2,0,0,2
53,https://bio.tools/HIV-ASSIST,1,2,2,2,2,0,0,0,2
54,https://bio.tools/HIVCoR,1,2,1,2,1,2,2,0,1
55,https://bio.tools/HTRgene,1,2,2,2,2,2,0,0,2
56,https://bio.tools/HULK,1,2,1,2,1,2,2,0,1
57,https://bio.tools/IMGT_StatClonotype,1,2,1,2,1,2,0,0,1
58,https://bio.tools/IMPLEMENTATIONGPA,1,2,2,2,2,2,0,0,2
59,https://bio.tools/Ideonella_azotifigens_DSMZ21438T,0,2,2,2,2,2,0,0,2
60,https://bio.tools/IgM,1,2,2,2,2,2,0,0,2
61,https://bio.tools/ImtRDB,1,2,1,2,1,2,2,0,1
62,https://bio.tools/Introduction_Genomic_Analysis_Workshop,1,2,2,2,2,2,0,0,2
63,https://bio.tools/KRASi,0,2,2,2,2,2,0,0,2
64,https://bio.tools/LGG,1,2,2,2,2,2,0,0,2
65,https://bio.tools/LOMETS2,1,2,1,2,1,2,2,0,1
66,https://bio.tools/LOTS-IM,1,2,2,2,2,2,0,0,2
67,https://bio.tools/LPM,1,2,2,2,2,2,0,0,2
68,https://bio.tools/LiceBase,0,2,2,2,2,2,2,0,2
69,https://bio.tools/Lilikoi,1,2,1,2,1,2,2,0,1
70,https://bio.tools/LipMat,1,2,2,2,2,2,2,0,2
71,https://bio.tools/Lipase_reclassification,0,2,1,2,1,2,2,0,1
72,https://bio.tools/LoReAn,1,2,1,2,1,2,2,0,1
73,https://bio.tools/MALDI-2,1,2,2,2,2,2,0,0,2
74,https://bio.tools/MCACO-ES,1,2,2,2,2,2,0,0,2
75,https://bio.tools/MHCSeqNet,1,2,1,2,1,2,2,0,1
76,https://bio.tools/MIA-Sig,1,2,2,2,2,2,0,0,2
77,https://bio.tools/MIGOU,1,2,2,2,2,2,0,0,2
78,https://bio.tools/MIRIA,1,2,2,2,2,2,0,0,2
79,https://bio.tools/MMseqs2,0,2,1,2,1,2,2,0,1
80,https://bio.tools/MVIAm,1,2,2,2,2,2,0,0,2
81,https://bio.tools/MVP_autogenerated,0,2,2,2,2,2,0,0,2
82,https://bio.tools/MetHis,0,2,2,2,2,2,2,0,2
83,https://bio.tools/MinIONTM,0,2,2,2,2,2,0,0,2
84,https://bio.tools/MsPAC,0,2,1,2,1,2,2,0,1
85,https://bio.tools/Muscle_Gene_Sets,1,2,1,2,1,2,2,0,1
86,https://bio.tools/NEMII,1,2,2,2,2,2,0,0,2
87,https://bio.tools/NMTF,0,2,2,2,2,2,0,0,2
88,https://bio.tools/NUFEB,0,2,1,2,1,2,2,0,1
89,https://bio.tools/OSCE,1,2,2,2,2,2,0,0,2
90,https://bio.tools/Open-Sim_Moco,0,2,2,2,2,2,0,0,2
91,https://bio.tools/OpenMolcas,1,2,2,2,2,2,0,0,2
92,https://bio.tools/OrthoVenn2,1,2,1,2,1,2,2,0,1
93,https://bio.tools/PANDA-view,0,2,1,2,1,2,0,0,1
94,https://bio.tools/PELE-MSM,1,2,2,2,2,2,0,0,2
95,https://bio.tools/PER_viewer,0,2,1,2,1,2,2,0,1
96,https://bio.tools/PIRATE,1,2,2,2,2,2,2,0,2
97,https://bio.tools/PQStat,1,2,2,2,2,2,0,0,2
98,https://bio.tools/PRIA,1,2,2,2,2,2,0,0,2
99,https://bio.tools/PRODIGY-crystal,0,2,1,2,1,2,2,0,1
100,https://bio.tools/PaCIR,1,2,2,2,2,2,0,0,2
101,https://bio.tools/PharmOmics,0,2,2,2,2,2,0,0,2
102,https://bio.tools/Phenoscape,1,2,2,2,2,2,2,0,2
103,https://bio.tools/PhyChro,0,2,2,2,2,2,2,0,2
104,https://bio.tools/Plant_Regulomics,1,2,2,2,2,2,0,0,2
105,https://bio.tools/PopNetD3,1,2,1,2,1,2,2,0,1
106,https://bio.tools/ProSNEx,1,2,1,2,1,2,2,0,1
107,https://bio.tools/Pyntheon,0,2,2,2,2,2,2,0,2
108,https://bio.tools/QTLpoly,0,2,1,2,1,2,2,0,1
109,https://bio.tools/RADAR-base,1,2,2,2,2,2,0,0,2
110,https://bio.tools/RADProc,1,2,1,2,1,2,2,0,1
111,https://bio.tools/RRDistMaps,0,2,1,2,1,2,2,0,1
112,https://bio.tools/RRMdb,1,2,1,2,1,2,0,0,1
113,https://bio.tools/RRphylo,1,2,2,2,2,2,0,0,2
114,https://bio.tools/Rice_Galaxy,1,2,1,2,1,2,2,0,1
115,https://bio.tools/SDG,0,2,2,2,2,2,2,0,2
116,https://bio.tools/SELVa,0,2,2,2,2,2,2,0,2
117,https://bio.tools/SLiMs,1,2,2,2,2,2,0,0,2
118,https://bio.tools/SNPector,0,2,2,2,2,2,0,0,2
119,https://bio.tools/SOLart,1,2,2,2,2,2,0,0,2
120,https://bio.tools/STRIDE_autogenerated,1,2,2,2,2,2,0,0,2
121,https://bio.tools/SamPler,1,2,2,2,2,2,0,0,2
122,https://bio.tools/SieveSifter,0,2,1,2,1,2,2,0,1
123,https://bio.tools/SigsPack,1,2,2,2,2,2,0,0,2
124,https://bio.tools/SimkaMin,1,2,2,2,2,2,2,0,2
125,https://bio.tools/SingleCellSignalR,0,2,2,2,2,2,0,0,2
126,https://bio.tools/SkinPhaser,0,2,2,2,2,2,0,0,2
127,https://bio.tools/SpliceFinder,1,2,2,2,2,2,0,0,2
128,https://bio.tools/StructAlign,1,2,2,2,2,2,2,0,2
129,https://bio.tools/TCRE,0,2,1,2,1,2,2,0,1
130,https://bio.tools/TDNAscan,1,2,2,2,2,2,0,0,2
131,https://bio.tools/TGS-GapCloser,0,2,2,2,2,2,0,0,2
132,https://bio.tools/TMCG,0,2,2,2,2,2,0,0,2
133,https://bio.tools/TSDD,0,2,1,2,1,2,2,0,1
134,https://bio.tools/ThermoLabAnimal,1,2,1,2,1,2,2,0,1
135,https://bio.tools/UTAP,1,2,1,2,1,2,0,0,1
136,https://bio.tools/VDJbase,1,2,2,2,2,2,0,0,2
137,https://bio.tools/VOLARE,1,2,2,2,2,2,0,0,2
138,https://bio.tools/ViSiElse,0,2,2,2,2,2,0,0,2
139,https://bio.tools/VirBin,1,2,2,2,2,2,0,0,2
140,https://bio.tools/WBNPMD,1,2,2,2,2,2,0,0,2
141,https://bio.tools/WheatCRISPR,1,2,2,2,2,2,0,0,2
142,https://bio.tools/Yvis,1,2,1,2,1,2,2,0,1
143,https://bio.tools/ab-ligity,0,2,1,2,1,2,2,0,1
144,https://bio.tools/abaenrichment,1,2,1,2,1,2,2,0,1
145,https://bio.tools/abcrpred,0,2,2,2,2,2,0,0,2
146,https://bio.tools/abm-tki,1,2,1,2,1,2,0,0,1
147,https://bio.tools/aboria,0,2,1,2,1,2,2,0,1
148,https://bio.tools/adaptml,1,2,1,2,1,2,0,0,1
149,https://bio.tools/adataviewer,1,2,2,2,2,2,0,0,2
150,https://bio.tools/adjusted-local-connectivity,0,2,1,2,1,0,0,0,1
151,https://bio.tools/advance-resistance-calculator,0,2,1,2,1,0,0,0,1
152,https://bio.tools/aesop,1,2,1,2,1,2,2,0,1
153,https://bio.tools/affycompatible,0,2,1,2,1,2,2,0,1
154,https://bio.tools/affyparaebi,0,2,1,2,1,2,0,0,1
155,https://bio.tools/afst,0,2,2,2,2,2,0,0,2
156,https://bio.tools/agbase,1,2,1,2,1,2,0,0,1
157,https://bio.tools/aitl,0,2,2,2,2,2,0,0,2
158,https://bio.tools/aklimate,0,2,2,2,2,2,2,0,2
159,https://bio.tools/alder,0,2,2,2,2,2,2,0,2
160,https://bio.tools/align,1,2,1,2,1,2,0,0,1
161,https://bio.tools/alkaligrass,1,2,2,2,2,2,0,0,2
162,https://bio.tools/ampeppy,1,2,2,2,2,2,2,0,2
163,https://bio.tools/amptools,0,2,1,2,1,2,0,0,1
164,https://bio.tools/ancestry_hmm-s,0,2,2,2,2,2,2,0,2
165,https://bio.tools/annokey,0,2,2,2,2,2,0,0,2
166,https://bio.tools/anota,0,2,1,2,1,2,2,0,1
167,https://bio.tools/anthem,1,2,2,2,2,2,0,0,2
168,https://bio.tools/anticp,1,2,1,2,1,2,0,0,1
169,https://bio.tools/apache_taverna,0,2,1,2,1,2,2,0,1
170,https://bio.tools/apptest,0,2,1,2,1,2,0,0,1
171,https://bio.tools/arcadia,0,2,2,2,2,2,0,0,2
172,https://bio.tools/archcandy,1,2,1,2,1,2,0,0,1
