,ID,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://bio.tools/2StrucCompare,0.02,0.0,6.12,0.0,0.01,0.0,0.0,0.0,0.01
1,https://bio.tools/BIGsDB,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,https://bio.tools/BactSNP,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
3,https://bio.tools/LDmotif,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
4,https://bio.tools/LIQUID_lipids_identification,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
5,https://bio.tools/MechSpy,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
6,https://bio.tools/MultiWaver,0.02,0.0,0.32,0.0,0.01,0.0,0.01,0.01,0.01
7,https://bio.tools/RsQTL,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
8,https://bio.tools/SAMIRIX,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
9,https://bio.tools/Variational_Bayes_approach_GEMINI,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
10,https://bio.tools/amlrs,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,https://bio.tools/blood-glucose-model-insulin-control,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
12,https://bio.tools/bsbolt,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
13,https://bio.tools/casq,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
14,https://bio.tools/chesca-chespa-sparky,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
15,https://bio.tools/cladeoscope,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
16,https://bio.tools/consept,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
17,https://bio.tools/crossrun,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
18,https://bio.tools/dbest,0.01,0.0,4.41,0.0,0.01,0.0,0.0,0.0,0.01
19,https://bio.tools/diana-mited,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0
20,https://bio.tools/dinar,0.01,0.0,0.61,0.0,0.01,0.0,0.0,0.0,0.01
21,https://bio.tools/dnmfilter_indel,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
22,https://bio.tools/electronic_pcr,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,https://bio.tools/fasttargetpred,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0
24,https://bio.tools/fourcseq,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
25,https://bio.tools/gene3d_structural,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
26,https://bio.tools/green-db,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
27,https://bio.tools/locpred,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,https://bio.tools/pardre,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
29,https://bio.tools/phyloflash,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01
30,https://bio.tools/prep,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,https://bio.tools/prokevo,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
32,https://bio.tools/proq2,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
33,https://bio.tools/protocaller,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
34,https://bio.tools/rMSIKeyIon,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
35,https://bio.tools/recipedb,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
36,https://bio.tools/riboexp,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
37,https://bio.tools/scepath,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
38,https://bio.tools/sembionlqa,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
39,https://bio.tools/spatzie,0.06,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
40,https://bio.tools/stjudecloud,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
41,https://bio.tools/symmetric,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
42,https://bio.tools/synbadm,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
43,https://bio.tools/tisan,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01
44,https://bio.tools/topmatch,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01
45,https://bio.tools/umi-atac-seq,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
46,https://bio.tools/vConTACT,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
47,https://bio.tools/wescover,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01
