domain,nb
iab-rubric.org,23
www.scitepress.org,23
ieeexploreieee.53yu.com,23
cds.nyu.edu,23
csimq-journals.rtu.lv,23
science.sciencemag.org,23
catalog.ldc.upenn.edu,23
www.list.lu,23
www.dl.begellhouse.com,23
dspace.library.uu.nl,23
sandbox.dissco.tech,23
madoc.bib.uni-mannheim.de,23
dans.knaw.nl,23
herv.img.cas.cz,22
www.ggoindigocorporateservices.com,22
dataportal.europdx.eu,22
swe.ssa.esa.int,22
www.insee.fr,22
bdj.pensoft.net,22
78.128.250.85:5000,22
taxref.i3s.unice.fr,22
ensemble.org,22
genomevolution.org,22
bioschemas.org,22
genomicus.eu,22
acc2.ncbr.muni.cz,22
portal-gdi-nl.molgeniscloud.org,22
competency.ebi.ac.uk,22
stressbehandlung.info,22
by-covid.org,22
atlo.team,22
ror.org,22
localhost,22
atome.cbs.cnrs.fr,22
app.unicatdb.org,22
localhost:7200,22
covid-19.uniprot.org,22
catalogue.data.wa.gov.au,22
decryptor.imtm.cz,22
open-reaction-database.org,22
data.gesis.org,22
www.nanotomy.org,22
portal.eufgis.org,22
www.google.it,22
pfam.xfam.org,22
phaidra.cab.unipd.it,22
1w8c0gr.257.cz,22
great-frogs-admire-188-25-207-217.loca.lt,22
eody.gov.gr,22
paris-art-market.huma-num.fr,22
bina.bulac.fr,22
orphanet.fdps.ejprd.semlab-leiden.nl,22
demo3.france-bioinformatique.fr,22
data.enanomapper.net,22
parleflandre.univ-lille.fr,22
cppredictor.elixir-czech.cz,22
192.169.230.2:7200,22
geysse.com,22
p2rank.cz,22
researchdata.cab.unipd.it,22
marinevre.lifewatch.be,22
paris-timemachine.huma-num.fr,22
www.heart.org,22
www.nib.si,22
covid19estamoson.gov.pt,22
opendatacommunities.org,22
opendatadpc.maps.arcgis.com,22
demo2.france-bioinformatique.fr,22
www.ine.pt,22
covid19.min-saude.pt,22
bioinfo.lifl.fr,22
virus.img.cas.cz,22
geonetwork-sdi-lab.d4science.org,22
bioinfo.cristal.univ-lille.fr,22
environment.data.gov.uk,22
www.greenphyl.org,22
mailchi.mp,22
gtpb.igc.gulbenkian.pt,22
crocodile.ncbr.muni.cz,22
www.aad.org,22
dataterra.brgm-rec.fr,22
dnatco.datmos.org,22
www.nmrprocflow.org,22
setter.projekty.ms.mff.cuni.cz,22
schema.org,22
scenic.aertslab.org,22
www.covid-hep.net,22
nanos-sci.com,22
www.cos.io,22
dati.regione.sicilia.it,22
services.fsd.tuni.fi,22
journals.biologists.com,22
data.industryportal.enit.fr,22
cbg-ethz.github.io,22
saqi-app.sudhirattri1.repl.co,22
sib-swiss.github.io,22
fc.cab.unipd.it,22
www.covid19dataportal.org,22
kese.envir.ee,22
dataverse.unimi.it,22
data-nifc.opendata.arcgis.com,22
alpha.flymine.org,22
sdo.oma.be,22
molstar.org,22
www.maastrichtuniversity.nl,22
www.kissmee.fr,22
davidhoksza.github.io,22
moodle.utbm.fr,22
www.ecdc.europa.eu,22
search.kg.ebrains.eu,22
cdc.dwd.de,22
mobidb.bio.unipd.it,22
server.nanopubs.lod.labs.vu.nl,22
kissplice.prabi.fr,22
services.cbib.u-bordeaux.fr,22
sinacloud.isprambiente.it,22
dati.comune.galatone.le.it,22
form.crnl.fr,22
spec.industrialontologies.org,22
rsat.eu,22
ejprd.fair-dtls.surf-hosted.nl,22
oai.unidata.unimib.it,22
repeatsdb.bio.unipd.it,22
www.fsd.tuni.fi,22
webchemdev.ncbr.muni.cz,22
spci.imtm.cz,22
www.genesys-pgr.org,22
epistat.wiv-isp.be,22
rsat-tagc.univ-mrs.fr,22
proteom.biomed.cas.cz,22
www.genomicus.bio.ens.psl.eu,22
www.cebitec.uni-bielefeld.de,22
proteinensemble.org,22
protein.gomapman.org,22
old.protein.bio.unipd.it,22
www.fi.muni.cz,22
eurisco.ecpgr.org,22
www.seznam.cz,22
publons.com,22
slovnikcestiny.cz,22
febs.onlinelibrary.wiley.com,22
www.asco.org,22
ng6.toulouse.inra.fr,22
rdmkit.elixir-europe.org,22
migale.inrae.fr,22
analytics.huma-num.fr,22
nib-si.github.io,22
dataverse.scholarsportal.info,22
catalogue.lifecycle-project.eu,22
ckan.ymparisto.fi,22
developer.mozilla.org,21
demo.france-bioinformatique.fr,21
tilde.ai,21
www.archivesportaleurope.net,21
web.expasy.org,21
projects.nib.si,21
datahuiswadden.openearth.nl,21
www.oth-aw.de,21
catalogue-acc.molgeniscloud.org,21
explore.openaire.eu,21
geoportal.gov.cz,21
www.bbc.com,20
gaia-x.gitlab.io,20
taltech.ee,20
www.geonames.org,19
vietvardi.lv,18
metabohub.peakforest.org,18
shivanigoyalphotography.com,17
www.baidu.com,16
iucat.iu.edu,15
si-digital-framework.org,15
www.cnrs.fr,15
gxy.io,15
jpsearch.go.jp,15
lbdv.imev-mer.fr,15
igsmap.maps.arcgis.com,15
data.narodni-repozitar.cz,15
saber.ucv.ve,15
www.orpha.net,15
dados.gov.pt,15
oa.upm.es,15
www.gomapman.org,15
translate.tilde.com,15
fdp.radboudumc.nl,14
preprints.aijr.org,14
inter3mdb.loria.fr,14
matrixdb.univ-lyon1.fr,14
addi.ehu.es,14
cscentr.com,14
www.georisques.gouv.fr,14
www.geysse.com,14
pcs-db.fr,14
knifex.best,14
kingjackmovie.com,14
fairgenomes-acc.gcc.rug.nl,14
www.ucl.ac.uk,14
1win.com,14
data.muziekweb.nl,14
ena-docs.readthedocs.io,13
hub.ibisba.eu,13
msdc.qdio.ac.cn,13
www.oneaquahealth.eu,13
data.naturefrance.fr,13
www.genouest.org,13
oa.tib.eu,13
meta.dasch.swiss,13
southgreen.fr,13
ripollj.gitlab.io,13
scilifelab.figshare.com,13
www.phenomin.fr,13
eurreca.net,13
www.lemonde.fr,13
www.repo.uni-hannover.de,13
sabiork.h-its.org,13
www.npws.ie,13
www.zenodo.org,13
fair.healthdataportal.eu,13
roesler.filialsysteme.de,13
erepository.uonbi.ac.ke,13
adsexchange.in,13
faseb.onlinelibrary.wiley.com,13
agorajs.github.io,13
research-sharing.cesgo.org,13
research-portal.st-andrews.ac.uk,13
isa-specs.readthedocs.io,13
fhir.simplifier.net,13
dmp.opidor.fr,13
www.omim.org,13
fmi.b2share.csc.fi,13
www.aniseed.fr,13
bl.iro.bl.uk,13
linkinghub.elsevier.com,13
prostatenet.eu,13
open.canada.ca,13
edamontology.github.io,13
gude.uni-frankfurt.de,13
e-archivo.uc3m.es,13
openebench.bsc.es,13
covid19initiatives.health-ri.nl,13
bacdive.com,13
u-paris.fr,13
crispr-browser.pasteur.cloud,13
data2.cerdi.edu.au,13
www.icgc-argo.org,13
dockstore.org,13
toolkit.tuebingen.mpg.de,13
data.depositar.io,13
www.medrxiv.org,13
www.hibc.rwth-aachen.de,13
pipprofiler.france-bioinformatique.fr,13
biomodhub.github.io,13
www.i-med.ac.at,13
pndb.fr,13
platform.icgc-argo.org,13
bioinfo.bioger.inrae.fr,13
triplestore.netwerkdigitaalerfgoed.nl,13
uniprot.org,13
hal-lirmm.ccsd.cnrs.fr,13
beta.ukdataservice.ac.uk,13
gitlab.inria.fr,13
usegalaxy.org,13
www.cazy.org,13
gitexplorer.com,13
www.ee-lv.lv,12
www.extralevel.ch,12
www.outils.genomique.biologie.ens.fr,12
www.egovernment.ch,12
wordnet.princeton.edu,12
www.ezv.admin.ch,12
usir.salford.ac.uk,12
www.ijat-aatsea.com,12
www.researchsquare.com,12
www.personvarduatveide.lv,12
www.fdz-bildung.de,12
www.efsa.europa.eu,12
www.ehu.eus,12
wildlive.senckenberg.de,12
www.klimaateffectatlas.nl,12
www.orthodb.org,12
www.sharedmobility.ch,12
xsliulab.github.io,12
www.ibm.com,12
validator.schema.org,12
www.ekz.ch,12
valodasrokasgramata.lv,12
www.pgscatalog.org,12
www.spiegel.de,12
www.energiereporter.ch,12
www.zugmap.ch,12
www.ifc677.top,12
www1.cs.columbia.edu,12
www.10xgenomics.com,12
www.energieschweiz.ch,12
varaft.eu,12
www.nyc.gov,12
valoda.ailab.lv,12
www.escience.org.cn,12
www.3td.lv,12
www1.nyc.gov,12
www.sasbdb.org,12
www.iitgn.ac.in,12
www.obis.org,12
www.sodha.be,12
www.first.org,12
wil.e-pics.ethz.ch,12
www.housing.gov.ie,12
zaguan.unizar.es,12
www.ir.dspu.edu.ua,12
www.ss-framework.com,12
www.geodienste.ch,12
www.geolink.pt,12
www.geologieportal.ch,12
www.granthaalayahpublication.org,12
vision.middlebury.edu,12
www.ipb.uni-bonn.de,12
w-1995.github.io,12
vx-underground.org,12
www.parlament.ch,12
www.geotope.ch,12
www.scielo.br,12
www.gesetzessammlung.bs.ch,12
www.inaturalist.org,12
voparis-ns.obspm.fr,12
www.ionelgog.org,12
www.gesis.org,12
vision.stanford.edu,12
www.rousseauonline.ch,12
zecke-tique-tick.ch,12
www.rts.ch,12
www.global.art,12
www.infofauna.ch,12
www.seanoe.org,12
www.seeci.net,12
www.guangrui.li,12
www.isisn.org,12
veupathdb.org,12
www.rnamd.org,12
www.googleadservices.com,12
www.itu.int,12
www.hidrografico.pt,12
zhenghuaxu.info,12
www.fonoteca.ch,12
xview2.org,12
www.iti.gr,12
www.ismll.uni-hildesheim.de,12
www.seismo.ethz.ch,12
www.overture.bio,12
www.openarchives.org,12
yann.lecun.com,12
yareta.unige.ch,12
www.gempundit.com,12
www.isil.nb.admin.ch,12
www.heppnetz.de,12
www.helveticarchives.ch,12
zhanglab-bioinf.com,12
www.ontotext.com,12
web.stanford.edu,12
www.openarchieven.nl,12
vims.univ-nantes.fr,12
www.geocatalogue.fr,12
www.bihealth.org,12
www.economy.nayka.com.ua,12
www.atmosud.org,12
www.timesjobs.com,12
www.atlasea.fr,12
www.mareografico.it,12
www.cdc.gov,12
www.atlasleefomgeving.nl,12
www.puertos.es,12
www.atlasnatuurlijkkapitaal.nl,12
www.mat-min.ch,12
www.astra.admin.ch,12
www.psm.admin.ch,12
www.cau.cat,12
www.triveniworld.com,12
www.australianpopulationstudies.org,12
www.mdai.cat,12
www.wahlen.bs.ch,12
www.nationalpark.ch,12
www.cirad.fr,12
www.pokemon.com,12
www.latvijas-pilskalni.lv,12
www.nb.no,12
www.worldscientificnews.com,12
www.comreg.ie,12
www.machado.cnptia.embrapa.br,12
www.co-ode.org,12
www.cnurpc.org,12
www.thespermwhale.com,12
www.pointrencontreurgence.ch,12
www.clinicaltrials.gov,12
www.cityscapes-dataset.com,12
www.climate.gov,12
www.womage.lv,12
www.clarin.lv,12
www.wetzipedia.ch,12
www.clapotis-saverne.com,12
www.cl.cam.ac.uk,12
www.asparaginasedb.cz,12
www.catchments.ie,12
www.casualruby.com,12
www.casd.eu,12
www.meg.ch,12
www.tugraz.at,12
www.minergie.ch,12
www.mifav.uniroma2.it,12
www.braindatacenter.cn,12
www.bolo.ch,12
www.udgvirtual.udg.mx,12
www.protectiondestroupeaux.ch,12
www.priminfo.admin.ch,12
www.visnyk-econom.uzhnu.uz.ua,12
www.uek-administrative-versorgungen.ch,12
www.pronatura.ch,12
www.unb.ca,12
www.bj.admin.ch,12
www.bivipas.unal.edu.co,12
www.metabolomicsworkbench.org,12
www.bhpecological.com,12
www.bundesarchiv.de,12
www.unibas.ch,12
www.medien.bs.ch,12
www.tsmtreuhand.ch,12
www.cars24-member-official.com,12
www.vision.caltech.edu,12
www.basketball.nl,12
www.baurekursgericht-zh.ch,12
www.mediathek.admin.ch,12
www.museenbasel.ch,12
www.sbv-usp.ch,12
www.bayut.sa,12
www.bazg.admin.ch,12
www.cancer.gov,12
www.preprints.org,12
www.cameo3d.org,12
www.mediatheque.ch,12
www.cadastre.ch,12
www.cadastre-manual.admin.ch,12
www.thaiscience.info,12
www.archive814.or.kr,12
www.covid19.admin.ch,12
www.agrometeo.ch,12
www.agri-gis.admin.ch,12
www.zbsolothurn.ch,12
www.staatskanzlei.bs.ch,12
www.niagads.org,12
www.regierungsrat.bs.ch,12
www.agrojournal.org,12
www.lingvistiskakarte.lv,12
www.nhepsdc.cn,12
www.youtube.com,12
www.nextprot.org,12
www.demodejas.lv,12
www.agrosvit.info,12
www.ahadata.com,12
www.ai4t.eu,12
www.deciphergenomics.org,12
www.reforbsimulator.eu,12
www.dsmz.de,12
www.zefix.admin.ch,12
www.dy.nayka.com.ua,12
www.e-codices.unifr.ch,12
www.ecologie.gouv.fr,12
www.abstimmungen.bs.ch,12
www.ldc.upenn.edu,12
www.abstr-int-cartogr-assoc.net,12
www.li.admin.ch,12
www.access.kit.edu,12
www.e-manuscripta.ch,12
www.zotero.org,12
www.nmkk.lv,12
www.nii.ac.in,12
www.adfontes.uzh.ch,12
www.adrianbulat.com,12
www.pitt.edu,12
www.um.es,12
www.e-gs.ethz.ch,12
www.newpkluck.com,12
www.dataverse.net.ua,12
www.crawdad.org,12
www.csbio.sjtu.edu.cn,12
www.wujunpla.net,12
www.ncdc.ac.cn,12
www.daggegevens.knmi.nl,12
www.arbeitsvoranschlag.ch,12
www.cvlibs.net,12
www.cse.iitb.ac.in,12
www.radeepnetwork.eu,12
www.cs.utexas.edu,12
www.datavejviser.dk,12
www.cs.jhu.edu,12
www.sz.ch,12
www.luchtmeetnet.nl,12
www.nccs.admin.ch,12
www.cs.cit.tum.de,12
www.tensorflow.org,12
www.tethys.at,12
www.dancukratuve.lv,12
www.aramis.admin.ch,12
www.danielpovey.com,12
www.apsipa.org,12
www.steincenter.at,12
www.alexandria.ch,12
www.locus.ufv.br,12
www.swiss-archives.ch,12
www.data.cam.ac.uk,12
www.amazoniainvestiga.info,12
www.amtsdruckschriften.bar.admin.ch,12
www.wwpdb.org,12
www.data-archive.ac.uk,12
www.neuroconnlab.org,12
www.dashboardkrankenversicherung.admin.ch,12
www.swisslipids.org,12
www.dasgebaeudeprogramm.ch,12
www.radiorock.com.br,12
www.swissparam.ch,12
www.ijiet.org,12
10-54-1-122.gcp.glicid.fr,12
universityoflatvia387-my.sharepoint.com,12
ecmwf.int,12
eur-lex.europa.eu,12
euclinicaltrials.eu,12
essuir.sumdu.edu.ua,12
erddap.at.biopolis.pt,12
er.ceres.rub.de,12
epjdatascience.springeropen.com,12
eol.org,12
energy.databus.dbpedia.org,12
en.publicdomainproject.org,12
en-word.net,12
eml.ecoinformatics.org,12
elearning.vib.be,12
ejournals.bc.edu,12
eir.nuos.edu.ua,12
edu.sib.swiss,12
eurobloodnet.eu,12
eurogoos.eu,12
eurotermbank.com,12
files.ifi.uzh.ch,12
freidok.uni-freiburg.de,12
freetron.in,12
forum-webapp.semantic-metabolomics.fr,12
florilege.arcad-project.org,12
fits.geonet.org.nz,12
finds.org.uk,12
fdp.erkreg.eu,12
eva-aeppli.ch,12
fairuse.stanford.edu,12
faireexplo.org,12
faculty.arts.ubc.ca,12
f1000research.com,12
extranet.aecirujanos.es,12
event.cwi.nl,12
edmed.seadatanet.org,12
ecampus.fh-potsdam.de,12
fuseki.matolab.org,12
ecai2020.eu,12
dm.dongguk.edu,12
disgenet.com,12
digitant.ilc.cnr.it,12
digitalabiblioteka.lv,12
difarepositories.uin-suka.ac.id,12
diavgeia.gov.gr,12
developer.library.ethz.ch,12
dev.webhotelix.com,12
designnotes.blog.gov.uk,12
depmap.org,12
demo.dspace.org,12
dehesa.unex.es,12
de.wikipedia.org,12
de.foto-ch.ch,12
ddbj.nig.ac.jp,12
docs.api.naturalproducts.net,12
docs.gaois.ie,12
dogadernegi.org,12
drops.dagstuhl.de,12
ebuah.uah.es,12
ebird.org,12
dvn.fudan.edu.cn,12
dummyjson.com,12
dspace.spbu.ru,12
dspace.nbuv.gov.ua,12
dribbble.com,12
doi-org.access.semantak.com,12
dracor.org,12
dpp.worldduchenne.org,12
dozmorovlab.github.io,12
download.geofabrik.de,12
donnees.montreal.ca,12
doi.datacite.org,12
ftp.cdc.gov,12
gaia.igme.gr,12
datos.gov.co,12
hemberg-lab.github.io,12
in.talent.com,12
imgpedia.dcc.uchile.cl,12
img.freepik.com,12
imageclef.org,12
igws.indiana.edu,12
icvl.ee.ic.ac.uk,12
hydrobiolog.com.ua,12
hydro.eaufrance.fr,12
hugo.lv,12
hubeau.eaufrance.fr,12
hub.pages.pasteur.fr,12
hsso.ch,12
horizon.scidb.cn,12
hive.utah.edu,12
universidadedecoimbra154.sharepoint.com,12
index.vp.ejprarediseases.org,12
infolab.stanford.edu,12
infraart.inoe.ro,12
irvlab.cs.umn.edu,12
jonathantompson.github.io,12
jobs.amazon.in,12
jaunagaita.net,12
itbgit.biologie.hu-berlin.de,12
ismara.unibas.ch,12
isisn.org,12
ipt.biodiversity.aq,12
inria.hal.science,12
inveniordm.web.cern.ch,12
invenio.bundesarchiv.de,12
intlab.skuniv.ac.kr,12
intercarto.msu.ru,12
institutionalrepository.aah.org,12
inrialearninglab.github.io,12
henrys-law.org,12
hcommons.org,12
gazenergie.ch,12
hav.univie.ac.at,12
gitup.uni-potsdam.de,12
gitlab.rlp.net,12
gitlab.lbd.org.es,12
gitlab.kit.edu,12
gitlab.citius.usc.es,12
gitee.com,12
gis.uba.de,12
ggplot2.tidyverse.org,12
geoportal.de,12
geo.scnat.ch,12
geo.ld.admin.ch,12
genspectrum.org,12
genomicepidemiology.org,12
gemo.southgreen.fr,12
gdex.ucar.edu,12
glagolab.eindigo.net,12
globalwordnet.org,12
glyconnect.expasy.org,12
growdrop.live,12
hastac.hcommons.org,12
hal-mines-paristech.archives-ouvertes.fr,12
hab.sites.er.kcl.ac.uk,12
guidaletteraria.ti.ch,12
guaix.ucm.es,12
guaix.fis.ucm.es,12
growbets.net,12
gnss-metadata.eu,12
groups.csail.mit.edu,12
grist.numerique.gouv.fr,12
griffith.figshare.com,12
google.fr,12
go.epfl.ch,12
gnss.be,12
db.cngb.org,12
datos.gob.cl,12
joss.theoj.org,12
auspace.athabascau.ca,12
bioinformaticsdotca.github.io,12
bioinformatics.hyphendevs.com,12
bioinfo.genotoul.fr,12
biodiversityadvisor.sanbi.org,12
bibliotheque-numerique.bu.uca.fr,12
bibliotech.inp-toulouse.fr,12
biblio.ugent.be,12
bibkg.imfd.cl,12
besjournals.onlinelibrary.wiley.com,12
bdi.si.ehu.eus,12
bandit.camp,12
balsutalka.lv,12
baden.docuteam.ch,12
b2share.fz-juelich.de,12
aztidata.es,12
biolink.github.io,12
biss.pensoft.net,12
bliulab.net,12
breckon.org,12
campar.in.tum.de,12
cambiotraining.github.io,12
callisto-formation.fr,12
busco.ezlab.org,12
buildingparser.stanford.edu,12
browser.apex.esa.int,12
braludraudze.lndb.lv,12
bluetigercommons.lincolnu.edu,12
brage.nina.no,12
books2ebooks.eu,12
bolin.su.se,12
bnarchives.yorku.ca,12
bmvc2019.org,12
bmvc2018.org,12
aviator-next.spribegaming.com,12
aura.alfred.edu,12
carpentries.org,12
atteli.lndb.lv,12
ai.baidu.com,12
agh.rodbuk.pl,12
advanced.onlinelibrary.wiley.com,12
adsp.niagads.org,12
adni.loni.usc.edu,12
adknowledgeportal.synapse.org,12
adimen.si.ehu.es,12
ades.eaufrance.fr,12
acoli-repo.github.io,12
academia.lndb.lv,12
Www.bbc.co.uk,12
82bet66.com,12
3mmarand.github.io,12
2021.ecmlpkdd.org,12
1k14u14.github.io,12
aifb.kit.edu,12
albangaignard.github.io,12
almanach.inria.fr,12
archivdatenbank-online.ethz.ch,12
artemoda.unibg.it,12
ars.els-cdn.com,12
archives.seoul.go.kr,12
archives.memovs.ch,12
archives.geneve.ch,12
archive.ciser.cornell.edu,12
apps.geodan.nl,12
amser.org,12
apps.ecmwf.int,12
app.datajoule.fr,12
api.srgssr.ch,12
api.figshare.com,12
anuario.sernapesca.dataobservatory.net,12
an-jieun.github.io,12
campus.dariah.eu,12
cat.opidor.fr,12
dati.istat.it,12
dados.ufcspa.edu.br,12
data.ingv.it,12
data.ined.fr,12
data.ices.dk,12
data.hub.geosphere.at,12
data.gers.fr,12
data.ess.tsinghua.edu.cn,12
data.doremus.org,12
data.cdc.gov,12
data.casearth.cn,12
data-dataref.ifremer.fr,12
data-catalogue.lifelines.nl,12
dasi.cnr.it,12
dashboards.sales.labbit.com,12
dare.uol.de,12
daniilidis-group.github.io,12
data.lib.keio.ac.jp,12
data.libraryjournal.com.cn,12
data.lifewatchdev.eu,12
datapresentation.casd.eu,12
dataverse.uliege.be,12
dataverse.hpc4ai.unito.it,12
dataspace.copernicus.eu,12
datasetsearch.research.google.com,12
datasets.wri.org,12
datasets.simula.no,12
dataobservatory.net,12
data.niglas.ac.cn,12
databank.worldbank.org,12
data.transportation.gov,12
data.snf.ch,12
data.ofb.fr,12
data.odeuropa.eu,12
data.norge.no,12
dainuskapis.lv,12
d4mucfpksywv.cloudfront.net,12
catalogue.ceh.ac.uk,12
cutt.ly,12
clavellab.github.io,12
clarin.lv,12
clades.nextstrain.org,12
clada-bg.eu,12
cl.haifa.ac.il,12
china.scidb.cn,12
chemview.epa.gov,12
chat.openai.com,12
change-itn.eu,12
chalearnlap.cvc.uab.es,12
centralbaltic.eu,12
cdsarc.unistra.fr,12
cdli.earth,12
caucasiana.pensoft.net,12
catalogue.e-rihs.eu,12
cmpdc.iphy.ac.cn,12
coast.noaa.gov,12
cocoon.huma-num.fr,12
cs.stanford.edu,12
curate.nd.edu,12
culturecrossroads.lv,12
culebront-pipeline.readthedocs.io,12
ctdbase.org,12
csg.sph.umich.edu,12
cs.wikipedia.org,12
critterbase.awi.de,12
coderefinery.github.io,12
crema.unibas.ch,12
cran.rproject.org,12
corkoakdb.org,12
core.ac.uk,12
community.france-bioinformatique.fr,12
commons.library.stonybrook.edu,12
joseasaezm.github.io,12
hildok.bsz-bw.de,12
journal.qubahan.com,12
proceedings.aaai-make.info,12
press.liacs.nl,12
prefets.ihtp.cnrs.fr,12
practical-case-bioinfo-teaching-fair-gaa-92d332f8346e321adf6fde.gitlab-pages.ifremer.fr,12
ppm.umw.edu.pl,12
portals.iucn.org,12
portaldoclima.pt,12
portal.inmet.gov.br,12
portal.azure.com,12
portail.indigeo.fr,12
polpick.io,12
politikfinanzierung.efk.admin.ch,12
platform.rd-connect.eu,12
philosophymindscience.org,12
phenomics.va.ornl.gov,12
phaidra.univie.ac.at,12
primolatvija.hosted.exlibrisgroup.com,12
prod-geoserver.emodnet-physics.eu,12
repository.ninjal.ac.jp,12
produccioncientificaluz.org,12
reports-archive.adm.cs.cmu.edu,12
relate.racai.ro,12
rebiun.baratz.es,12
rdrr.io,12
radar4chem.radar-service.eu,12
radar.kit.edu,12
query.wikidata.org,12
quadrama.shinyapps.io,12
pubs.sciepub.com,12
publica.fraunhofer.de,12
pub.uni-bielefeld.de,12
psb.stanford.edu,12
psa.esa.int,12
projekt.ht.lu.se,12
progenetix.org,12
phaeoexplorer.sb-roscoff.fr,12
pgxlod.loria.fr,12
pf-mh.uvt.rnu.tn,12
people.ee.ethz.ch,12
opendata.picturae.com,12
opendata.leipzig.de,12
opendata.kilkennycoco.ie,12
opendata.eawag.ch,12
opendata.dodis.ch,12
opendata.cityofnewyork.us,12
opendata.cern.ch,12
open.bydata.de,12
oparu.uni-ulm.de,12
op.europa.eu,12
ontopt.dei.uc.pt,12
ontoportal-astro.eu,12
onlinearchives.ethz.ch,12
online.srjbtkshetra.org,12
onecompiler.com,12
opendata.ukaea.uk,12
opennetzero.org,12
openorganelle.janelia.org,12
pangaea.de,12
peerj.com,12
pds.nasa.gov,12
pdfs.semanticscholar.org,12
parl.ai,12
paperswithcode.com,12
papersvuzf.net,12
journal.uin-alauddin.ac.id,12
openplato.eu,12
ovantica.com,12
outreach.didichuxing.com,12
orsolamborrini.github.io,12
orientales.unior.it,12
openzh.shinyapps.io,12
openxcplatform.com,12
repositori.upf.edu,12
repository.tudelft.nl,12
okmm.nmu.org.ua,12
temperature.gr,12
tb.plazi.org,12
taalmaterialen.ivdnt.org,12
systematicreviewsjournal.biomedcentral.com,12
synbiohub.org,12
swissregulon.unibas.ch,12
swisscollections.ch,12
swissbib.ch,12
swcarpentry.github.io,12
support.datacite.org,12
stromlandschaft.mynewenergy.ch,12
stenders.lndb.lv,12
steel-st.sourceforge.io,12
statomique.github.io,12
starrail.mobilemeta.gg,12
stada2.sg.ch,12
technology.matthey.com,12
tensorflow.google.cn,12
repository.tugraz.at,12
thehalara.com,12
unit.eu,12
uniprot3d.org,12
unilectin.unige.ch,12
ufldl.stanford.edu,12
ub-basel.atlassian.net,12
trompa-mtg.upf.edu,12
trec.nist.gov,12
tma.e-pics.ethz.ch,12
tiny.ke,12
tiny.cc,12
tilde.geonet.org.nz,12
tilde-model.s3-eu-west-1.amazonaws.com,12
tianchi.aliyun.com,12
thetalkingmachines.com,12
theluckydate.com,12
spectacle.ddq.nl,12
sourceforge.net,12
soundcloud.com,12
solpick.io,12
schemas.org,12
saref.etsi.org,12
rustypot.com,12
runa.lnb.lv,12
run.unl.pt,12
rsat.france-bioinformatique.fr,12
romanopendata.eu,12
revistas.uned.es,12
revistas.udea.edu.co,12
revistas.ucm.es,12
revistaasri.com,12
researchbox.org,12
research.libd.org,12
repozytorium.bg.ug.edu.pl,12
repozytorium.amu.edu.pl,12
sciences.orphadata.com,12
scorpios.readthedocs.io,12
scriptamusica.lv,12
sky.esa.int,12
soar.esac.esa.int,12
snirh.apambiente.pt,12
sniplay.southgreen.fr,12
snikproject.github.io,12
snaujournal.com.ua,12
slod.fiz-karlsruhe.de,12
simtk.org,12
search.i815.or.kr,12
simbad.cds.unistra.fr,12
shiny.york.ac.uk,12
shiny.osug.fr,12
seve.ibmp.unistra.fr,12
service.geonet.org.nz,12
septentrio.uit.no,12
omabrowser.org,12
okfn.gr,12
late.ailab.lv,12
matthey.com,12
mldta.com,12
mmlab.ie.cuhk.edu.hk,12
modecon.mnau.edu.ua,12
modelarchive.org,12
linkr.it,12
monokite.in,12
lac.uni-koeln.de,12
lab.malab.cn,12
moodle.learninghub.kingshealthpartners.org,12
masonrydb.epfl.ch,12
mostwiedzy.pl,12
mouse.brain-map.org,12
kwk.blv.admin.ch,12
kulturaskanons.lv,12
mri.one,12
marineinfo.org,12
ms-multimedia-challenge.com,12
korpuss.lv,12
marine.rutgers.edu,12
minorplanetcenter.net,12
minerva-access.unimelb.edu.au,12
linnanwang.github.io,12
layers.saudia.xyz,12
lifesciences.datastations.nl,12
library.ethz.ch,12
metadata-afs.nancy.inra.fr,12
lib.physcon.ru,12
lib.i-bteu.by,12
metadaten.uba.de,12
legacy.hls-dhs-dss.ch,12
meteodaten-nordwest.ch,12
learntodiscover.ai,12
meteotest.github.io,12
medical-data-models.org,12
medibiofarma.com,12
metrics.univ-lille.fr,12
learninghub.kingshealthpartners.org,12
micro.cau.cat,12
linkeddata.cultureelerfgoed.nl,12
millab.rsu.lv,12
ld.admin.ch,12
mimicintweb.tagc.univ-amu.fr,12
myshare.uni-osnabrueck.de,12
my.clevelandclinic.org,12
naehrwertdaten.ch,12
lope.linguistics.ntu.edu.tw,12
nfdi4ing.pages.rwth-aachen.de,12
nfdi4ing.rz-housing.tu-clausthal.de,12
ngdc.cncb.ac.cn,12
nlp.ailab.lv,12
jsg.aks.ac.kr,12
nmdc.cn,12
journals.vilniustech.lt,12
nmu.org.ua,12
lyy.mpi-inf.mpg.de,12
oai.openedition.org,12
journals.openedition.org,12
oceanide.es,12
ogd.swissmedic.ch,12
oj.tsatu.edu.ua,12
journals.library.ualberta.ca,12
m.rwe-finance.ru,12
mad.ens-lyon.fr,12
juanmartinsantos.github.io,12
lindat.mff.cuni.cz,12
nbsdc.cn,12
llufb.llu.lv,12
kartkatalog.test.geonorge.no,12
nationalgalleryimages.ie,12
livonian.tech,12
load.observatoriologistico.cl,12
map.blw.admin.ch,12
knhanes.kdca.go.kr,12
nbisweden.github.io,12
jundongl.github.io,12
nematerialakultura.lv,12
neo4j.het.io,12
