,URL,HTTP_status,nb_triples,has_conforms_to,info
0,https://www.ebi.ac.uk/training/events/metagenomics-bioinformatics-2022/,200.0,81.0,False,
1,https://www.alliancegenome.org/gene/RGD:620474,200.0,8.0,False,
2,https://disprot.org/DP00086,200.0,763.0,True,
3,https://fairsharing.org/,200.0,104.0,False,
4,https://pathvisio.org/,200.0,12.0,True,
5,https://bgee.org/?page=species&amp;species_id=9606#expr-calls,301.0,41.0,True,
6,https://identifiers.org/,200.0,27.0,False,
7,http://gigadb.org/site/index,200.0,14.0,False,
8,http://,,,,Invalid url: http://
9,https://workflowhub.eu/,200.0,45.0,True,
10,https://pairedomicsdata.bioinformatics.nl/projects/d0f1add5-5b16-4f78-9b93-0d1d9c9bcb59.1,200.0,40.0,True,
11,https://reactome.org/content/detail/R-HSA-449147,200.0,108.0,False,
12,https://www.ebi.ac.uk/interpro/entry/InterPro/IPR015252/,200.0,78.0,False,
13,https://www.guidetopharmacology.org/,200.0,61.0,False,
14,http://phenpath.biocomp.unibo.it/cgi-bin/phenpath/ppDB.py,200.0,43.0,True,
15,https://psnpbind.org/protein/1owh,200.0,10.0,True,
16,https://search.data.enanomapper.net/about/enanomapper/,200.0,8.0,False,
17,https://wikipathways.org/,301.0,0.0,False,
18,https://enzyme.expasy.org/EC/1.1.3.-,200.0,28.0,False,
19,https://pcddb.cryst.bbk.ac.uk/,200.0,68.0,False,
20,https://bioschemas.org/meetings/2022-01_SWAT4HCLS_leiden,200.0,54.0,True,
21,https://rdmkit.elixir-europe.org/human_data.html,200.0,129.0,False,
22,https://www.guidetopharmacology.org/coronavirus.jsp,302.0,7.0,True,
23,https://cells.ebisc.org/BIHi006-D,301.0,58.0,True,
24,https://www.ebi.ac.uk/biosamples/,200.0,19.0,False,
25,https://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=141189&lng=en,200.0,33.0,False,
26,https://www.proteinatlas.org/,200.0,347.0,False,
27,http://159.149.160.88/pscan_chip_dev/,200.0,0.0,False,
28,https://cancer.sanger.ac.uk/cosmic/,200.0,18.0,False,
29,https://datamed.org/display-item.php?repository=0006&id=59139ef65152c62a9fc18ff7,404.0,0.0,False,
30,https://nanocommons.github.io/datasets/,200.0,35.0,True,
31,https://tess.elixir-europe.org/events/introduction-to-r-for-biologists-online,200.0,64.0,True,
