,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://bio.tools/2d-image-cepstral-analysis,0.0,0.26,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
1,https://bio.tools/3DGV,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
2,https://bio.tools/ABPS,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
3,https://bio.tools/ADMMBO,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
4,https://bio.tools/AIDE,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
5,https://bio.tools/AJIA,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
6,https://bio.tools/ANISEED,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
7,https://bio.tools/APPAGATO,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
8,https://bio.tools/ASA-PS,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
9,https://bio.tools/AmpliconTagger,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
10,https://bio.tools/AnomiGAN,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
11,https://bio.tools/Arabidopsis_Interactions_Viewer,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
12,https://bio.tools/AsANet,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
13,https://bio.tools/AstroDot,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
14,https://bio.tools/BACMMAN,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
15,https://bio.tools/BPt,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
16,https://bio.tools/BitterSweet,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
17,https://bio.tools/CANet,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
18,https://bio.tools/CAPICE,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
19,https://bio.tools/CARNIVAL,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
20,https://bio.tools/CASP13,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
21,https://bio.tools/CATT,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
22,https://bio.tools/CIMI-Ethiopia,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
23,https://bio.tools/CRAFT,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
24,https://bio.tools/CRUMBLER,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
25,https://bio.tools/CURLS,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
26,https://bio.tools/CWL_VM_environment,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
27,https://bio.tools/CancerTracer,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
28,https://bio.tools/Chickspress,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
29,https://bio.tools/ChromDragoNN,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
30,https://bio.tools/ClassyFire,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
