,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://bio.tools/16s_amplicon_sequencing,0,0,2,2,2,0,2,0,0,0
1,https://bio.tools/25000_ug_BPA_kg_bw,0,1,2,2,2,0,2,0,0,0
2,https://bio.tools/2dar2darma-param-estimation,0,0,2,2,2,0,2,0,0,0
3,https://bio.tools/2dx,0,0,2,2,2,0,2,2,0,0
4,https://bio.tools/3SRP,0,1,2,2,2,0,2,2,0,0
5,https://bio.tools/3dembenchmark,0,0,2,2,2,0,2,2,0,0
6,https://bio.tools/3did,0,1,2,2,2,0,2,2,0,0
7,https://bio.tools/ABCD_database,0,1,2,2,2,0,2,2,0,0
8,https://bio.tools/ACID-docking,0,0,2,2,2,0,2,2,0,0
9,https://bio.tools/ADAPTABLE,0,1,2,2,2,0,2,2,0,0
10,https://bio.tools/ADDO,0,1,2,2,2,0,2,2,2,0
11,https://bio.tools/AOPs-SVM,0,1,2,2,2,0,2,2,0,0
12,https://bio.tools/ASJA,0,1,2,2,2,0,2,2,0,0
13,https://bio.tools/AcRanker,0,0,2,2,2,0,2,2,0,0
14,https://bio.tools/AdaReg,0,0,2,2,2,0,2,2,2,0
15,https://bio.tools/All-FIT,0,1,2,2,2,0,2,2,2,0
16,https://bio.tools/AlleleAnalyzer,0,1,2,2,2,0,2,2,2,0
17,https://bio.tools/Analysis,0,0,2,2,2,0,2,2,2,0
18,https://bio.tools/ArtiFuse,0,1,2,2,2,0,2,2,0,0
19,https://bio.tools/AssessORF,0,1,2,2,2,0,2,2,2,0
20,https://bio.tools/AtbPpred,0,1,2,2,2,0,2,2,0,0
21,https://bio.tools/B88,0,1,2,2,2,0,2,2,0,0
22,https://bio.tools/BAM-matcher,0,0,2,2,2,0,2,2,2,0
23,https://bio.tools/BiGG_Models,0,1,2,2,2,0,2,2,0,0
24,https://bio.tools/BiomeNet,0,1,2,2,2,0,2,2,0,0
25,https://bio.tools/Boa,0,0,2,2,2,0,2,2,0,0
26,https://bio.tools/CIRCexplorer2,0,1,2,2,2,0,2,2,2,0
27,https://bio.tools/CODEX2,0,0,2,2,2,0,2,2,2,0
28,https://bio.tools/CRISPRCasFinder_autogenerated,0,1,2,2,2,0,2,2,0,0
29,https://bio.tools/CS2Structure,0,1,2,2,2,0,2,2,2,0
30,https://bio.tools/CSI_NGS_Portal,0,0,2,2,2,0,2,2,0,0
31,https://bio.tools/CaPTk,0,1,2,2,2,0,2,2,0,0
32,https://bio.tools/CaptureProbe,0,1,2,2,2,0,2,2,0,0
33,https://bio.tools/CirGO,0,1,2,2,2,0,2,2,2,0
34,https://bio.tools/CoMetGeNe,0,1,2,2,2,0,2,2,2,0
35,https://bio.tools/CodAn,0,0,2,2,2,0,2,2,2,0
36,https://bio.tools/Conterminator,0,0,2,2,2,0,2,2,2,0
37,https://bio.tools/Cool_Farm_Tool_Water,0,1,2,2,2,0,2,2,0,0
38,https://bio.tools/CrystFEL,0,1,2,2,2,0,2,2,2,0
39,https://bio.tools/CycloNovo,0,1,2,2,2,0,2,2,0,0
40,https://bio.tools/DECA_autogenerated,0,1,2,2,2,0,2,2,0,0
41,https://bio.tools/DESSO,0,1,2,2,2,0,2,2,0,0
42,https://bio.tools/DTSGUI,0,1,2,2,2,0,2,2,0,0
43,https://bio.tools/DUETT,0,1,2,2,2,0,2,2,0,0
44,https://bio.tools/Data_Information_System_DAISY,0,1,2,2,2,0,2,2,2,0
45,https://bio.tools/DeepEP,0,1,2,2,2,0,2,2,2,0
46,https://bio.tools/DiffAtOnce,0,0,2,2,2,0,2,0,2,0
47,https://bio.tools/DiversityExsiccatae,0,0,2,2,2,0,2,2,2,0
48,https://bio.tools/Dizzy-Beats,0,0,2,2,2,0,2,2,2,0
49,https://bio.tools/EK-DRD,0,1,2,2,2,0,2,2,0,0
50,https://bio.tools/ES,0,1,2,2,2,0,2,2,0,0
51,https://bio.tools/EURO-HEALTHY,0,1,2,2,2,0,2,2,0,0
52,https://bio.tools/EnzyDock,0,1,2,2,2,0,2,2,0,0
53,https://bio.tools/EpiCompare,0,0,2,2,2,0,2,2,2,0
54,https://bio.tools/Epigenomics_Workflow_on_Galaxy_and_Jupyter,0,0,2,2,2,0,2,2,2,0
55,https://bio.tools/FAMoS,0,1,2,2,2,0,2,2,2,0
56,https://bio.tools/FCM-m,0,1,2,2,2,0,2,2,0,0
57,https://bio.tools/FSSP,0,1,2,2,2,0,2,2,0,0
58,https://bio.tools/Fischer_344,0,0,2,2,2,0,2,2,0,0
59,https://bio.tools/FossilJ,0,0,2,2,2,0,2,2,2,0
60,https://bio.tools/FrogCap,0,0,2,2,2,0,2,2,0,0
61,https://bio.tools/Funmap2,0,1,2,2,2,0,2,2,2,0
62,https://bio.tools/GAUSSIAN09,0,1,2,2,2,0,2,2,0,0
63,https://bio.tools/GBOL,0,1,2,2,2,0,2,2,0,0
64,https://bio.tools/GCF,0,1,2,2,2,0,2,2,0,0
65,https://bio.tools/GEAN,0,1,2,2,2,0,2,2,2,0
66,https://bio.tools/GE_LDA_Survival,0,1,2,2,2,0,2,2,0,0
67,https://bio.tools/GRSMF,0,1,2,2,2,0,2,2,0,0
68,https://bio.tools/GSEA_autogenerated,0,1,2,2,2,0,2,2,0,0
69,https://bio.tools/Gapsplit,0,0,2,2,2,0,2,2,2,0
