,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://bio.tools/2StrucCompare,0,1,2,2,2,0,2,2,2,0
1,https://bio.tools/BIGsDB,0,0,2,2,2,0,2,2,0,0
2,https://bio.tools/BactSNP,0,1,2,2,2,0,2,2,2,0
3,https://bio.tools/LDmotif,0,1,2,2,2,0,2,2,0,0
4,https://bio.tools/LIQUID_lipids_identification,0,0,2,2,2,0,2,2,2,0
5,https://bio.tools/MechSpy,0,0,2,2,2,0,2,2,2,0
6,https://bio.tools/MultiWaver,0,1,2,2,2,0,2,2,0,0
7,https://bio.tools/RsQTL,0,0,2,2,2,0,2,2,0,0
8,https://bio.tools/SAMIRIX,0,1,2,2,2,0,2,2,2,0
9,https://bio.tools/Variational_Bayes_approach_GEMINI,0,1,2,2,2,0,2,2,2,0
10,https://bio.tools/amlrs,0,1,2,2,2,0,2,2,0,0
11,https://bio.tools/blood-glucose-model-insulin-control,0,0,2,2,2,0,2,0,0,0
12,https://bio.tools/bsbolt,0,0,2,2,2,0,2,2,2,0
13,https://bio.tools/casq,0,1,2,2,2,0,2,2,2,0
14,https://bio.tools/chesca-chespa-sparky,0,1,2,2,2,0,2,2,0,0
15,https://bio.tools/cladeoscope,0,1,2,2,2,0,2,2,2,0
16,https://bio.tools/consept,0,0,2,2,2,0,2,2,2,0
17,https://bio.tools/crossrun,0,1,2,2,2,0,2,2,2,0
18,https://bio.tools/dbest,0,1,2,2,2,0,2,2,0,0
19,https://bio.tools/diana-mited,0,1,2,2,2,0,2,2,0,0
20,https://bio.tools/dinar,0,0,2,2,2,0,2,2,2,0
21,https://bio.tools/dnmfilter_indel,0,1,2,2,2,0,2,2,0,0
22,https://bio.tools/electronic_pcr,0,1,2,2,2,0,2,0,0,0
23,https://bio.tools/fasttargetpred,0,1,2,2,2,0,2,2,2,0
24,https://bio.tools/fourcseq,0,1,2,2,2,0,2,2,2,0
25,https://bio.tools/gene3d_structural,0,0,2,2,2,0,2,2,0,0
26,https://bio.tools/green-db,0,0,2,2,2,0,2,2,2,0
27,https://bio.tools/locpred,0,1,2,2,2,0,2,2,0,0
28,https://bio.tools/pardre,0,1,2,2,2,0,2,2,0,0
29,https://bio.tools/phyloflash,0,1,2,2,2,0,2,2,2,0
30,https://bio.tools/prep,0,0,2,2,2,0,2,2,0,0
31,https://bio.tools/prokevo,0,0,2,2,2,0,2,2,2,0
32,https://bio.tools/proq2,0,1,2,2,2,0,2,2,0,0
33,https://bio.tools/protocaller,0,1,2,2,2,0,2,2,2,0
34,https://bio.tools/rMSIKeyIon,0,1,2,2,2,0,2,2,2,0
35,https://bio.tools/recipedb,0,1,2,2,2,0,2,2,0,0
36,https://bio.tools/riboexp,0,1,2,2,2,0,2,2,0,0
37,https://bio.tools/scepath,0,0,2,2,2,0,2,2,0,0
38,https://bio.tools/sembionlqa,0,1,2,2,2,0,2,2,0,0
39,https://bio.tools/spatzie,0,0,2,2,2,0,2,2,2,0
40,https://bio.tools/stjudecloud,0,1,2,2,2,0,2,2,2,0
41,https://bio.tools/symmetric,0,1,2,2,2,0,2,2,0,0
42,https://bio.tools/synbadm,0,1,2,2,2,0,2,2,0,0
43,https://bio.tools/tisan,0,0,2,2,2,0,2,2,0,0
44,https://bio.tools/topmatch,0,1,2,2,2,0,2,2,0,0
45,https://bio.tools/umi-atac-seq,0,0,2,2,2,0,2,2,0,0
46,https://bio.tools/vConTACT,0,1,2,2,2,0,2,2,2,0
47,https://bio.tools/wescover,0,1,2,2,2,0,2,2,2,0
