,domain,FAIReval
0,bio.tools,634
9,data.inrae.fr,117
2,workflowhub.eu,102
1,doi.pangaea.de,101
5,raw.githubusercontent.com,84
3,search.datacite.org,44
11,dataverse.harvard.edu,37
12,caligraph.org,37
13,www.bgee.org,37
14,entrepot.recherche.data.gouv.fr,37
15,www.uniprot.org,37
16,rest.uniprot.org,37
17,zenodo.org,37
6,nemi.molgeniscloud.org,23
7,taxref.i3s.unice.fr,23
8,sparql.uniprot.org,12
10,b'',3
4,purl.obolibrary.org,2
