,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://bio.tools/2StrucCompare,2,0,1,2,1,2,1,2,2,0,1
1,https://bio.tools/BIGsDB,2,0,0,2,2,2,2,2,0,0,2
2,https://bio.tools/BactSNP,2,0,1,2,1,2,1,2,2,0,1
3,https://bio.tools/LDmotif,2,0,1,2,2,2,2,2,0,0,2
4,https://bio.tools/LIQUID_lipids_identification,2,0,0,2,2,2,2,2,2,0,2
5,https://bio.tools/MechSpy,2,0,0,2,2,2,2,2,2,0,2
6,https://bio.tools/MultiWaver,2,0,1,2,1,2,1,2,0,0,1
7,https://bio.tools/RsQTL,2,0,0,2,2,2,2,2,0,0,2
8,https://bio.tools/SAMIRIX,2,0,1,2,2,2,2,2,2,0,2
9,https://bio.tools/Variational_Bayes_approach_GEMINI,2,0,1,2,2,2,2,2,2,0,2
10,https://bio.tools/amlrs,2,0,1,2,2,2,2,2,0,0,2
11,https://bio.tools/blood-glucose-model-insulin-control,2,0,0,2,1,2,1,0,0,0,1
12,https://bio.tools/bsbolt,2,0,0,2,2,2,2,2,2,0,2
13,https://bio.tools/casq,2,0,1,2,2,2,2,2,2,0,2
14,https://bio.tools/chesca-chespa-sparky,2,0,1,2,2,2,2,2,0,0,2
15,https://bio.tools/cladeoscope,2,0,1,2,1,2,1,2,2,0,1
16,https://bio.tools/consept,2,0,0,2,2,2,2,2,2,0,2
17,https://bio.tools/crossrun,2,0,1,2,2,2,2,2,2,0,2
18,https://bio.tools/dbest,2,0,1,2,1,2,1,2,0,0,1
19,https://bio.tools/diana-mited,2,0,1,2,2,2,2,2,0,0,2
20,https://bio.tools/dinar,2,0,0,2,1,2,1,2,2,0,1
21,https://bio.tools/dnmfilter_indel,2,0,1,2,2,2,2,2,0,0,2
22,https://bio.tools/electronic_pcr,2,0,1,2,2,2,2,0,0,0,2
23,https://bio.tools/fasttargetpred,2,0,1,2,2,2,2,2,2,0,2
24,https://bio.tools/fourcseq,2,0,1,2,1,2,1,2,2,0,1
25,https://bio.tools/gene3d_structural,2,0,0,2,1,2,1,2,0,0,1
26,https://bio.tools/green-db,2,0,0,2,2,2,2,2,2,0,2
27,https://bio.tools/locpred,2,0,1,2,2,2,2,2,0,0,2
28,https://bio.tools/pardre,2,0,1,2,1,2,1,2,0,0,1
29,https://bio.tools/phyloflash,2,0,1,2,2,2,2,2,2,0,2
30,https://bio.tools/prep,2,0,0,2,2,2,2,2,0,0,2
31,https://bio.tools/prokevo,2,0,0,2,2,2,2,2,2,0,2
32,https://bio.tools/proq2,2,0,1,2,2,2,2,2,0,0,2
33,https://bio.tools/protocaller,2,0,1,2,2,2,2,2,2,0,2
34,https://bio.tools/rMSIKeyIon,2,0,1,2,1,2,1,2,2,0,1
35,https://bio.tools/recipedb,2,0,1,2,2,2,2,2,0,0,2
36,https://bio.tools/riboexp,2,0,1,2,2,2,2,2,0,0,2
37,https://bio.tools/scepath,2,0,0,2,1,2,1,2,0,0,1
38,https://bio.tools/sembionlqa,2,0,1,2,2,2,2,2,0,0,2
39,https://bio.tools/spatzie,2,0,0,2,1,2,1,2,2,0,1
40,https://bio.tools/stjudecloud,2,0,1,2,2,2,2,2,2,0,2
41,https://bio.tools/symmetric,2,0,1,2,2,2,2,2,0,0,2
42,https://bio.tools/synbadm,2,0,1,2,2,2,2,2,0,0,2
43,https://bio.tools/tisan,2,0,0,2,1,2,1,2,0,0,1
44,https://bio.tools/topmatch,2,0,1,2,1,2,1,2,0,0,1
45,https://bio.tools/umi-atac-seq,2,0,0,2,2,2,2,2,0,0,2
46,https://bio.tools/vConTACT,2,0,1,2,2,2,2,2,2,0,2
47,https://bio.tools/wescover,2,0,1,2,1,2,1,2,2,0,1
